wscale;rto;rtt;mss;pmtu;rcvmss;advmss;cwnd;ssthresh;bytes_sent;bytes_retrans;bytes_acked;segs_out;segs_in;data_segs_out;lastrcv;delivered;rcv_space;rcv_ssthresh;loss_ratio;tcp_type;timestamp
6.6;1000;0.0;524;1500;88;1460;10;42340;524;0;0;1;0;0;5379572;0;14480;42340;0.0;cubic;2
9.0;284;81.691;1448;1500;536;1448;141;79;2118425;0;1914257;1465;659;1463;944;1323;14480;42242;0.0;cubic;4
9.0;284;82.187;1448;1500;536;1448;142;79;2132905;0;1928737;1475;664;1473;948;1333;14480;42242;0.0;cubic;4
9.0;276;75.105;1448;1500;536;1448;122;102;4608985;5;4433777;3190;1506;3188;2004;3063;14480;42242;1.0848375510009253e-06;cubic;6
9.0;276;75.183;1448;1500;536;1448;122;102;4623465;5;4446809;3200;1510;3198;2008;3072;14480;42242;1.0814400022493953e-06;cubic;6
9.0;284;81.348;1448;1500;536;1448;137;102;7129953;5;6931577;4931;2343;4929;3056;4788;14480;42242;7.012668947467115e-07;cubic;8
9.0;284;81.249;1448;1500;536;1448;137;102;7138641;5;6940265;4937;2346;4935;3060;4794;14480;42242;7.004134260288478e-07;cubic;8
9.0;268;64.754;1448;1500;536;1448;108;97;9581417;7;9425033;6626;3168;6624;4100;6510;14480;42242;7.305808733718613e-07;cubic;10
9.0;268;65.193;1448;1500;536;1448;108;97;9587209;7;9430825;6630;3170;6628;4104;6514;14480;42242;7.301395014962123e-07;cubic;10
9.0;276;72.372;1448;1500;536;1448;116;97;12048809;7;11880841;8330;3980;8328;5144;8206;14480;42242;5.809702851128274e-07;cubic;12
9.0;276;72.443;1448;1500;536;1448;116;97;12064737;7;11898217;8341;3986;8339;5148;8218;14480;42242;5.802032816794929e-07;cubic;12
9.0;272;71.183;1448;1500;536;1448;119;97;14552401;7;14380089;10059;4819;10057;6192;9932;14480;42242;4.810202797462769e-07;cubic;14
9.0;272;71.327;1448;1500;536;1448;119;97;14561089;7;14388777;10065;4822;10063;6196;9938;14480;42242;4.807332748258046e-07;cubic;14
9.0;276;75.972;1448;1500;536;1448;126;97;17045857;7;16864857;11781;5648;11779;7236;11648;14480;42242;4.106569707818152e-07;cubic;16
9.0;280;76.144;1448;1500;536;1448;126;97;17057441;7;16876441;11789;5652;11787;7240;11656;14480;42242;4.1037808660748117e-07;cubic;16
9.0;284;80.896;1448;1500;536;1448;133;97;19550897;7;19358313;13511;6482;13509;8280;13370;14480;42242;3.58039838274428e-07;cubic;18
9.0;284;80.939;1448;1500;536;1448;133;97;19561033;7;19368449;13518;6485;13516;8284;13377;14480;42242;3.5785431168180124e-07;cubic;18
9.0;260;59.929;1448;1500;536;1448;101;96;22006705;9;21861905;15209;7306;15207;9332;15099;14480;42242;4.0896626732625353e-07;cubic;20
9.0;264;60.306;1448;1500;536;1448;102;96;22021185;9;21873489;15219;7310;15217;9336;15107;14480;42242;4.0869735211797187e-07;cubic;20
9.0;276;73.85;1448;1500;536;1448;121;96;24516089;9;24340881;16942;8139;16940;10372;16811;14480;42242;3.6710586260312566e-07;cubic;22
9.0;276;73.928;1448;1500;536;1448;121;96;24527673;9;24352465;16950;8143;16948;10376;16819;14480;42242;3.669324847897312e-07;cubic;22
9.0;280;79.625;1448;1500;536;1448;133;96;27024025;9;26831441;18674;8972;18672;11420;18531;14480;42242;3.330369920838957e-07;cubic;24
9.0;284;80.052;1448;1500;536;1448;133;96;27041401;9;26848817;18686;8978;18684;11424;18543;14480;42242;3.328229924181813e-07;cubic;24
9.0;264;62.115;1448;1500;536;1448;103;95;29488521;11;29340825;20378;9800;20376;12472;20264;14480;42242;3.730265075010035e-07;cubic;26
9.0;264;62.387;1448;1500;536;1448;103;95;29497209;11;29349513;20384;9803;20382;12476;20270;14480;42242;3.7291663763849657e-07;cubic;26
9.0;268;67.331;1448;1500;536;1448;112;95;32002249;11;31840073;22114;10634;22112;13520;21990;14480;42242;3.437258425181305e-07;cubic;28
9.0;268;67.788;1448;1500;536;1448;112;95;32012385;11;31851657;22121;10638;22119;13524;21998;14480;42242;3.4361700947929995e-07;cubic;28
9.0;272;69.515;1448;1500;536;1448;115;95;34500049;11;34333529;23839;11471;23837;14568;23712;14480;42242;3.1884012686474737e-07;cubic;30
9.0;272;69.452;1448;1500;536;1448;116;95;34511633;11;34345113;23847;11475;23845;14572;23720;14480;42242;3.18733106602055e-07;cubic;30
9.0;276;74.606;1448;1500;536;1448;123;95;36999297;11;36821193;25565;12301;25563;15612;25430;14480;42242;2.973029460532723e-07;cubic;32
9.0;276;74.952;1448;1500;536;1448;123;95;37013777;11;36837121;25575;12306;25573;15616;25441;14480;42242;2.9718663945049433e-07;cubic;32
9.0;280;78.314;1448;1500;536;1448;131;95;39505785;11;39316097;27296;13139;27294;16660;27153;14480;42242;2.7844023349997983e-07;cubic;34
