wscale;rto;rtt;mss;pmtu;rcvmss;advmss;cwnd;ssthresh;bytes_sent;bytes_retrans;bytes_acked;segs_out;segs_in;data_segs_out;lastrcv;delivered;rcv_space;rcv_ssthresh;loss_ratio;tcp_type;timestamp
6.6;1000;0.0;524;1500;88;1460;10;42340;524;0;0;1;0;0;7726688;0;14480;42340;0.0;reno;2
9.0;304;101.785;1448;1500;536;1448;269;358;2318249;463;1345193;2066;351;2064;952;1333;14480;42242;0.00019971970224078603;reno;4
9.0;304;101.785;1448;1500;536;1448;269;358;2331281;463;1345193;2075;353;2073;956;1342;14480;42242;0.00019860325717920748;reno;4
9.0;264;60.501;1448;1500;536;1448;99;89;4591609;657;4449705;3830;1148;3828;2008;3074;14480;42242;0.00014308709648404294;reno;6
9.0;264;60.661;1448;1500;536;1448;99;89;4600297;657;4458393;3836;1151;3834;2012;3080;14480;42242;0.00014281686595452424;reno;6
9.0;272;68.147;1448;1500;536;1448;115;89;7141537;657;6976465;5591;1988;5589;3068;4819;14480;42242;9.19970028860734e-05;reno;8
9.0;272;68.407;1448;1500;536;1448;116;89;7154569;657;6988049;5600;1992;5598;3076;4827;14480;42242;9.182943095523994e-05;reno;8
9.0;280;77.529;1448;1500;536;1448;130;89;9685673;657;9497433;7348;2829;7346;4128;6560;14480;42242;6.783214754410974e-05;reno;10
9.0;280;78.134;1448;1500;536;1448;130;89;9695809;657;9509017;7355;2833;7353;4132;6568;14480;42242;6.776123580817238e-05;reno;10
9.0;248;45.625;1448;1500;536;1448;73;70;12099489;659;11993785;9017;3653;9015;5188;8284;14480;42242;5.446511005547424e-05;reno;12
9.0;248;45.869;1448;1500;536;1448;73;70;12106729;659;12002473;9022;3656;9020;5192;8290;14480;42242;5.443253912762068e-05;reno;12
9.0;260;56.049;1448;1500;536;1448;94;70;14637833;659;14501721;10770;4486;10768;6248;10016;14480;42242;4.5020325071340816e-05;reno;14
9.0;260;56.37;1448;1500;536;1448;94;70;14650865;659;14514753;10779;4490;10777;6252;10025;14480;42242;4.4980279321391605e-05;reno;14
9.0;268;66.014;1448;1500;536;1448;111;70;17173281;659;17014001;12521;5325;12519;7304;11751;14480;42242;3.83735641430429e-05;reno;16
9.0;268;66.231;1448;1500;536;1448;111;70;17183417;659;17022689;12528;5328;12526;7308;11757;14480;42242;3.835092868897961e-05;reno;16
9.0;276;74.985;1448;1500;536;1448;125;70;19702937;659;19521937;14268;6160;14266;8356;13483;14480;42242;3.344679019173639e-05;reno;18
9.0;276;75.55;1448;1500;536;1448;126;70;19717417;659;19534969;14278;6164;14276;8360;13492;14480;42242;3.342222766805611e-05;reno;18
9.0;284;82.954;1448;1500;536;1448;88;69;22150057;661;21883625;15960;6989;15958;9408;15210;14480;42242;2.9841909661902903e-05;reno;20
