wscale;rto;rtt;mss;pmtu;rcvmss;advmss;cwnd;ssthresh;bytes_sent;bytes_retrans;bytes_acked;segs_out;segs_in;data_segs_out;lastrcv;delivered;rcv_space;rcv_ssthresh;loss_ratio;tcp_type;timestamp
6.6;1000;0.0;524;1500;88;1460;10;42340;524;0;0;1;0;0;8381240;0;14480;42340;0.0;reno;2
9.0;324;122.24;1448;1500;536;1448;146;356;2177793;510;1051249;2016;331;2014;940;1318;14480;42242;0.00023418203658474428;reno;4
9.0;324;122.24;1448;1500;536;1448;142;356;2177793;516;1051249;2022;333;2020;944;1324;14480;42242;0.0002369371193680942;reno;4
9.0;260;59.087;1448;1500;536;1448;99;89;4568441;628;4425089;3785;1178;3783;1996;3057;14480;42242;0.0001374648375671263;reno;6
9.0;260;59.182;1448;1500;536;1448;99;89;4577129;628;4435225;3791;1181;3789;2000;3064;14480;42242;0.00013720391101059202;reno;6
9.0;272;69.562;1448;1500;536;1448;115;89;7090857;628;6925785;5527;2019;5525;3048;4784;14480;42242;8.856475317440474e-05;reno;8
9.0;272;69.796;1448;1500;536;1448;115;89;7100993;628;6934473;5534;2022;5532;3052;4790;14480;42242;8.843833531451164e-05;reno;8
9.0;280;77.171;1448;1500;536;1448;129;89;9617617;628;9430825;7272;2854;7270;4100;6514;14480;42242;6.529684016321299e-05;reno;10
9.0;280;77.436;1448;1500;536;1448;129;89;9629201;628;9442409;7280;2858;7278;4104;6522;14480;42242;6.52182875817007e-05;reno;10
9.0;248;46.123;1448;1500;536;1448;72;70;12028537;630;11925729;8939;3682;8937;5152;8237;14480;42242;5.237544682283473e-05;reno;12
9.0;248;45.751;1448;1500;536;1448;72;70;12043017;630;11940209;8949;3687;8947;5160;8247;14480;42242;5.23124728629047e-05;reno;12
9.0;256;55.492;1448;1500;536;1448;93;70;14535025;630;14401809;10670;4503;10668;6216;9947;14480;42242;4.334357870041503e-05;reno;14
9.0;256;55.979;1448;1500;536;1448;93;70;14543713;630;14410497;10676;4506;10674;6220;9953;14480;42242;4.331768648074945e-05;reno;14
9.0;268;65.644;1448;1500;536;1448;110;70;17082057;630;16924225;12429;5343;12427;7272;11689;14480;42242;3.688080422632942e-05;reno;16
9.0;268;65.714;1448;1500;536;1448;110;70;17096537;630;16938705;12439;5348;12437;7280;11699;14480;42242;3.684956783938174e-05;reno;16
9.0;276;74.602;1448;1500;536;1448;125;70;19631985;630;19450985;14190;6180;14188;8336;13434;14480;42242;3.209048906669397e-05;reno;18
9.0;276;74.932;1448;1500;536;1448;125;70;19646465;630;19465465;14200;6185;14198;8340;13444;14480;42242;3.206683746923429e-05;reno;18
9.0;284;83.01;1448;1500;536;1448;138;70;22161641;630;21963265;15937;7014;15935;9392;15169;14480;42242;2.842749776517001e-05;reno;20
9.0;284;83.281;1448;1500;536;1448;138;70;22176121;630;21977745;15947;7019;15945;9396;15179;14480;42242;2.8408935900016058e-05;reno;20
9.0;252;51.012;1448;1500;536;1448;86;70;24572561;632;24448033;17604;7840;17602;10448;16885;14480;42242;2.571974488129259e-05;reno;22
9.0;252;51.169;1448;1500;536;1448;86;70;24587041;632;24462513;17614;7845;17612;10452;16895;14480;42242;2.570459780011755e-05;reno;22
9.0;264;62.196;1448;1500;536;1448;105;70;27119593;632;26967553;19363;8678;19361;11504;18625;14480;42242;2.3304184542887498e-05;reno;24
9.0;264;62.631;1448;1500;536;1448;105;70;27128281;632;26977689;19369;8681;19367;11508;18632;14480;42242;2.3296721233461126e-05;reno;24
9.0;276;72.245;1448;1500;536;1448;120;70;29657937;632;29485625;21116;9517;21114;12564;20364;14480;42242;2.1309641328053264e-05;reno;26
9.0;276;72.172;1448;1500;536;1448;120;70;29675313;632;29503001;21128;9523;21126;12572;20376;14480;42242;2.1297163740109497e-05;reno;26
9.0;284;80.788;1448;1500;536;1448;134;70;32196281;632;32003697;22869;10350;22867;13624;22103;14480;42242;1.9629596349963526e-05;reno;28
9.0;284;81.282;1448;1500;536;1448;134;70;32213657;632;32021073;22881;10356;22879;13632;22115;14480;42242;1.961900817407971e-05;reno;28
9.0;248;47.5;1448;1500;536;1448;80;69;34582585;633;34466745;24518;11174;24516;14680;23804;14480;42242;1.8304010530155567e-05;reno;30
9.0;248;47.605;1448;1500;536;1448;80;69;34598513;633;34482673;24529;11179;24527;14688;23815;14480;42242;1.829558397495291e-05;reno;30
9.0;260;59.909;1448;1500;536;1448;100;69;37210705;633;37067353;26333;12032;26331;15776;25600;14480;42242;1.7011233729648497e-05;reno;32
9.0;264;60.188;1448;1500;536;1448;100;69;37225185;633;37080385;26343;12036;26341;15780;25609;14480;42242;1.7004616632529833e-05;reno;32
9.0;272;71.094;1448;1500;536;1448;116;69;39751945;633;39585425;28088;12870;28086;16832;27339;14480;42242;1.5923749139821963e-05;cubic;34
9.0;272;70.954;1448;1500;536;1448;116;69;39763529;633;39597009;28096;12874;28094;16836;27347;14480;42242;1.5919110197688944e-05;cubic;34
9.0;280;78.71;1448;1500;536;1448;130;69;42313457;633;42126665;29857;13711;29855;17904;29094;14480;42242;1.4959779816619568e-05;cubic;36
9.0;280;78.788;1448;1500;536;1448;130;69;42327937;633;42141145;29867;13716;29865;17908;29104;14480;42242;1.4954662212807584e-05;cubic;36
9.0;248;46.42;1448;1500;536;1448;74;69;44701209;635;44594057;31508;14530;31506;18960;30798;14480;42242;1.4205432340767339e-05;cubic;38
9.0;248;46.193;1448;1500;536;1448;74;69;44712793;635;44605641;31516;14534;31514;18964;30806;14480;42242;1.4201752057850647e-05;cubic;38
9.0;260;56.939;1448;1500;536;1448;95;69;47245345;635;47107785;33265;15361;33263;20024;32534;14480;42242;1.3440477575092318e-05;cubic;40
9.0;260;57.119;1448;1500;536;1448;95;69;47254033;635;47117921;33271;15364;33269;20028;32541;14480;42242;1.3438006444867891e-05;cubic;40
9.0;268;67.231;1448;1500;536;1448;112;69;49786585;635;49625857;35020;16199;35018;21080;34273;14480;42242;1.2754439775292883e-05;cubic;42
9.0;268;67.197;1448;1500;536;1448;112;69;49801065;635;49640337;35030;16204;35028;21084;34283;14480;42242;1.2750731334761617e-05;cubic;42
9.0;280;76.082;1448;1500;536;1448;126;69;52320585;635;52138137;36770;17035;36768;22136;36008;14480;42242;1.2136714449962667e-05;cubic;44
9.0;280;76.292;1448;1500;536;1448;126;69;52330721;635;52149721;36777;17039;36775;22140;36016;14480;42242;1.2134363675210973e-05;cubic;44
9.0;284;83.765;1448;1500;536;1448;97;69;54796665;636;54536025;38481;17866;38479;23196;37747;14480;42242;1.160654576332337e-05;cubic;46
9.0;288;84.352;1448;1500;536;1448;95;69;54799561;636;54536025;38483;17868;38481;23200;37751;14480;42242;1.1605932390589771e-05;cubic;46
9.0;256;53.483;1448;1500;536;1448;89;69;57261161;636;57133737;40183;18685;40181;24256;39458;14480;42242;1.1107004973231332e-05;cubic;48
9.0;256;53.402;1448;1500;536;1448;90;69;57272745;636;57142425;40191;18688;40189;24260;39464;14480;42242;1.110475846757476e-05;cubic;48
9.0;268;64.265;1448;1500;536;1448;107;69;59827017;636;59672081;41955;19525;41953;25328;41211;14480;42242;1.0630648691710636e-05;cubic;50
9.0;268;64.895;1448;1500;536;1448;107;69;59844393;636;59690905;41967;19531;41965;25332;41224;14480;42242;1.062756205080065e-05;cubic;50
9.0;276;73.249;1448;1500;536;1448;123;69;62394321;636;62216217;43728;20366;43726;26396;42968;14480;42242;1.0193235374738672e-05;cubic;52
9.0;276;73.607;1448;1500;536;1448;123;69;62403009;636;62224905;43734;20369;43732;26400;42974;14480;42242;1.0191816231169237e-05;cubic;52
9.0;284;82.057;1448;1500;536;1448;136;69;64938457;636;64742977;45485;21202;45483;27460;44713;14480;42242;9.793888388817122e-06;cubic;54
9.0;284;82.363;1448;1500;536;1448;136;69;64955833;636;64760353;45497;21208;45495;27464;44725;14480;42242;9.791268476227532e-06;cubic;54
9.0;252;50.578;1448;1500;536;1448;85;69;67355169;638;67233537;47156;22014;47154;28536;46433;14480;42242;9.472175773176369e-06;cubic;56
9.0;252;51.492;1448;1500;536;1448;85;69;67379785;638;67258153;47173;22022;47171;28544;46450;14480;42242;9.468715283077854e-06;cubic;56
9.0;264;62.436;1448;1500;536;1448;104;69;69952881;638;69802289;48950;22869;48948;29612;48207;14480;42242;9.120424932891612e-06;cubic;58
9.0;264;62.519;1448;1500;536;1448;104;69;69964465;638;69813873;48958;22873;48956;29616;48215;14480;42242;9.118914866282476e-06;cubic;58
9.0;248;46.267;1448;1500;536;1448;16;11;295393;4;272225;210;102;208;764;189;14480;42242;1.3541282291726615e-05;cubic;64
9.0;248;46.267;1448;1500;536;1448;16;11;295393;4;272225;210;102;208;768;189;14480;42242;1.3541282291726615e-05;cubic;64
9.0;248;47.178;1448;1500;536;1448;28;11;1020841;4;980297;711;344;709;1804;678;14480;42242;3.91833791942134e-06;reno;66
9.0;248;47.334;1448;1500;536;1448;28;11;1038217;4;997673;723;350;721;1812;690;14480;42242;3.852759105273753e-06;reno;66
9.0;248;45.673;1448;1500;536;1448;40;11;2102497;4;2046025;1458;703;1456;2852;1414;14480;42242;1.9024997419734725e-06;reno;68
9.0;248;45.636;1448;1500;536;1448;40;11;2114081;4;2057609;1466;707;1464;2860;1422;14480;42242;1.892075090784128e-06;reno;68
9.0;248;46.186;1448;1500;536;1448;52;11;3618553;4;3544705;2505;1208;2503;3900;2449;14480;42242;1.1054142360219678e-06;reno;70
9.0;248;46.105;1448;1500;536;1448;52;11;3630137;4;3556289;2513;1212;2511;3908;2457;14480;42242;1.1018867882947667e-06;reno;70
9.0;248;46.378;1448;1500;536;1448;64;11;5519777;4;5428553;3818;1837;3816;4952;3750;14480;42242;7.246669566542272e-07;reno;72
9.0;248;46.705;1448;1500;536;1448;64;11;5547289;4;5454617;3837;1846;3835;4964;3768;14480;42242;7.210729421164103e-07;reno;72
9.0;248;46.22;1448;1500;536;1448;76;11;7871329;4;7762729;5442;2610;5440;6024;5362;14480;42242;5.081733974021414e-07;reno;74
